timestamp,value,nominal,returns,volatility
2025-10-18,80.9834,1,0.0240187952288646,0.012427753859362898
2025-10-21,81.3582,1,0.0046281089704802,0.012591458518787336
2025-10-22,81.3475,1,-0.0001315171672923,0.012537444321008208
2025-10-23,81.6549,1,0.0037788499953901,0.012423172529882277
2025-10-24,81.269,1,-0.0047259870503789,0.01155478084235679
2025-10-25,80.9713,1,-0.0036631433880077,0.009607208042322176
2025-10-28,78.9848,1,-0.024533384050892,0.014434928914758173
2025-10-29,79.8174,1,0.0105412686998005,0.011225346567711032
2025-10-30,79.4715,1,-0.0043336415368078,0.010846046090769973
2025-10-31,80.5037,1,0.0129883039831888,0.01249251960999943
2025-11-01,80.9756,1,0.0058618423749468,0.01266070186321745
2025-11-02,80.8861,1,-0.0011052712175025,0.012562577369867567
2025-11-06,81.1885,1,0.0037385904376647,0.012573896245544386
2025-11-07,81.3765,1,0.0023155988840781,0.006122198958422039
2025-11-08,81.2257,1,-0.0018531148427369,0.005795386941478737
2025-11-11,81.0132,1,-0.0026161670505764,0.00548511726871986
2025-11-12,81.3562,1,0.0042338779359414,0.0033453720118013525
2025-11-13,81.2852,1,-0.0008727054606778,0.00281125657988875
2025-11-14,80.601,1,-0.0084172764537702,0.00442406273192946
2025-11-15,81.1276,1,0.0065334176995321,0.004963171636355854
2025-11-18,81.1302,1,3.2048279500429544e-05,0.0048519966557843495
2025-11-19,81.0547,1,-0.0009306029074254,0.004819090532772151
2025-11-20,80.9448,1,-0.0013558744896964,0.004740650426694155
2025-11-21,80.7321,1,-0.0026277166661724,0.0043888560638461705
2025-11-22,79.0246,1,-0.0211501992392121,0.008747825669215458
2025-11-25,78.9202,1,-0.0013211076044675,0.008558108270597059
2025-11-26,78.9615,1,0.0005233134229261,0.007704152832776513
2025-11-27,78.5941,1,-0.0046529004641503,0.007513577499600179
2025-11-28,78.2503,1,-0.0043743741578566,0.007351748078177277
2025-11-29,78.2284,1,-0.0002798711314845,0.007451075080475973
2025-12-02,77.7027,1,-0.006720065858435,0.0074089557910583075
2025-12-03,77.4631,1,-0.0030835479333407,0.0026117744112216746
2025-12-04,77.9556,1,0.0063578658742033,0.004375323565734848
2025-12-05,76.9708,1,-0.0126328320223307,0.0058235050087079845
2025-12-06,76.0937,1,-0.0113952303990604,0.006535599413221533
2025-12-09,77.2733,1,0.0155019403708849,0.010028913376304738
2025-12-10,76.8084,1,-0.0060163083497145,0.010122671885583955
2025-12-11,77.8998,1,0.014209383348696,0.011665813844144474
2025-12-12,79.3398,1,0.018485284942965,0.013317656790124819
2025-12-13,79.7296,1,0.0049130449030625,0.013277142942782835
2025-12-16,79.4495,1,-0.003513124360338,0.011821363714683213
2025-12-17,79.4302,1,-0.0002429216042895,0.009902478204542955
2025-12-18,80.3807,1,0.0119664812627944,0.009427191914254873
2025-12-19,80.0301,1,-0.0043617435528677,0.009099943279743224
2025-12-20,80.722,1,0.008645497131704,0.008477145144961964
2025-12-23,79.3146,1,-0.0174351477911844,0.009810618672064227
2025-12-24,78.585,1,-0.0091988108116286,0.010078093272984534
2025-12-25,78.4368,1,-0.0018858560794042,0.010056655882874263
2025-12-26,77.8844,1,-0.0070426126512046,0.010209826434869411
2025-12-27,77.6923,1,-0.0024664759566741,0.007947052169104397
2025-12-30,77.4466,1,-0.003162475560641,0.007971485835114839
2025-12-31,78.2267,1,0.0100727468991537,0.008376195093165423
2026-01-13,78.7913,1,0.0072174845672898,0.007087986309306782
2026-01-14,78.8527,1,0.000779273853839,0.0060777884793716
2026-01-15,78.5711,1,-0.0035712156971162,0.006219855403482739
2026-01-16,78.528,1,-0.0005485477484723,0.005375996491342961
2026-01-17,77.8332,1,-0.0088477995110024,0.006518710426137015
2026-01-20,77.7586,1,-0.0009584598860127,0.006376566915258222
2026-01-21,77.8247,1,0.0008500667450288,0.004864723155346079
2026-01-22,77.5159,1,-0.0039678919417615,0.0034530137780557804
2026-01-23,76.0382,1,-0.019063185746408,0.006902693988289585
2026-01-24,75.9246,1,-0.0014939859176046,0.007025838291111563
2026-01-27,76.0101,1,0.0011261172268275,0.007222920102214161
2026-01-28,76.5519,1,0.0071280000947244,0.008131962522420372
2026-01-29,76.2662,1,-0.0037321085433543,0.008120998555880795
2026-01-30,76.0251,1,-0.0031612955673679,0.00796581086282585
2026-01-31,75.7327,1,-0.0038460981965167,0.007964265188794463
2026-02-03,77.0223,1,0.0170283114163367,0.007731556826782274
2026-02-04,76.9817,1,-0.0005271200678245,0.007669956591083107
2026-02-05,76.9102,1,-0.0009287921674892,0.007748006208149422
2026-02-06,76.5523,1,-0.0046534789923833,0.00765363816951527
2026-02-07,77.054,1,0.0065536894384623,0.007797970384446554
