source_timestamp,target_timestamp,actual,fuzzy_state,forecast_labels,predicted
2018-02-15,2018-02-16,2369449984.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-02-16,2018-02-17,2525720064.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-02-17,2018-02-18,2567290112.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-02-18,2018-02-19,2169019904.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-02-19,2018-02-20,2545260032.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-02-20,2018-02-21,2531729920.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-02-21,2018-02-22,2150370048.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-02-22,2018-02-23,2334820096.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-02-23,2018-02-24,1926579968.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-02-24,2018-02-25,1646960000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-02-25,2018-02-26,2044480000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-02-26,2018-02-27,2053980032.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-02-27,2018-02-28,1963980032.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-02-28,2018-03-01,1868519936.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-03-01,2018-03-02,1894419968.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-03-02,2018-03-03,1699369984.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-03-03,2018-03-04,1697939968.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-03-04,2018-03-05,1898489984.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-03-05,2018-03-06,1943069952.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-03-06,2018-03-07,2175419904.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-03-07,2018-03-08,1891640064.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-03-08,2018-03-09,2233019904.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-03-09,2018-03-10,1532960000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-03-10,2018-03-11,1562680064.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-03-11,2018-03-12,1764999936.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-03-12,2018-03-13,1425959936.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-03-13,2018-03-14,1810560000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-03-14,2018-03-15,1770460032.0,A1,"A1, A2, A3, A4",8007769401.142489
